Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,175,2021-01-08,18581719,
US,82,2020-10-07,4355708,
Brazil,290,2021-05-03,3544676,
Russia,371,2021-07-23,1338325,
Spain,174,2021-01-07,323068,
United Kingdom,113,2020-11-07,308642,
Italy,98,2020-10-23,244550,
India,237,2021-03-11,2662221,
France,75,2020-09-30,213996,
Germany,72,2020-09-27,205204,
Peru,371,2021-07-23,595903,
Turkey,265,2021-04-08,252997,
Iran,392,2021-08-13,536024,
Chile,115,2020-11-09,353300,
Mexico,298,2021-05-11,616414,
Canada,118,2020-11-12,118917,
Saudi Arabia,148,2020-12-12,292382,
Pakistan,129,2020-11-23,292066,
Qatar,143,2020-12-07,114458,
Belgium,73,2020-09-28,65139,
Bangladesh,218,2021-02-20,285147,
