Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,129.0,2020-10-02,377541.0,56.63
US,94.0,2020-08-28,106095.0,51.73
Brazil,371.0,2021-06-01,200587.0,27.15
Russia,68.0,2020-08-02,5596.0,29.8
Spain,63.0,2020-07-28,29184.0,117.55
United Kingdom,85.0,2020-08-19,38663.0,63.19
Italy,82.0,2020-08-16,33524.0,38.56
India,159.0,2020-11-01,12329.0,19.65
France,61.0,2020-07-26,28836.0,30.5
Germany,66.0,2020-07-31,8555.0,39.58
Peru,92.0,2020-08-26,6483.0,18.59
Turkey,60.0,2020-07-25,4602.0,31.22
Iran,71.0,2020-08-05,7963.0,44.37
Chile,45.0,2020-07-10,1267.0,32.86
Mexico,99.0,2020-09-02,19743.0,23.16
Canada,83.0,2020-08-17,7643.0,34.93
Saudi Arabia,155.0,2020-10-28,1265.0,38.85
Pakistan,92.0,2020-08-26,2710.0,13.41
Qatar,,,,
Belgium,56.0,2020-07-21,9501.0,30.81
Bangladesh,37.0,2020-07-02,772.0,25.53
