Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,144,2020-10-12,6257957,23.98
US,208,2020-12-15,2058893,15.76
Brazil,133,2020-10-01,848921,14.43
Russia,124,2020-09-22,434102,22.8
Spain,91,2020-08-20,285041,21.62
United Kingdom,125,2020-09-23,302860,15.56
Italy,100,2020-08-29,232069,31.2
India,368,2021-05-24,964687,1.13
France,168,2020-11-05,197784,186.04
Germany,99,2020-08-28,186364,11.98
Peru,87,2020-08-16,179077,0.43
Turkey,130,2020-09-28,168947,16.95
Iran,120,2020-09-18,159996,14.49
Chile,78,2020-08-07,112583,27.42
Mexico,166,2020-11-03,158333,6.08
Canada,128,2020-09-26,99200,20.09
Saudi Arabia,100,2020-08-29,108423,15.97
Pakistan,112,2020-09-10,82323,14.2
Qatar,146,2020-10-14,83254,6.56
Belgium,78,2020-08-07,57630,47.06
Bangladesh,58,2020-07-18,44580,19.42
