Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,143,2020-12-03,642661.0,24.17
US,104,2020-10-25,145947.0,28.85
Brazil,372,2021-07-20,174324.0,5.18
Russia,187,2021-01-16,17229.0,4.46
Spain,20,2020-08-02,28414.0,44.44
United Kingdom,87,2020-10-08,45590.0,25.47
Italy,85,2020-10-06,34975.0,82.61
India,371,2021-07-19,189528.0,5.0
France,60,2020-09-11,30057.0,74.5
Germany,64,2020-09-15,9082.0,57.14
Peru,216,2021-02-14,21253.0,3.41
Turkey,62,2020-09-13,5531.0,29.92
Iran,43,2020-08-25,14465.0,30.28
Chile,60,2020-09-11,8221.0,51.34
Mexico,142,2020-12-02,50511.0,1.78
Canada,90,2020-10-11,8911.0,32.35
Saudi Arabia,51,2020-09-02,2616.0,37.01
Pakistan,86,2020-10-07,6468.0,28.14
Qatar,31,2020-08-13,183.0,63.64
Belgium,9,2020-07-22,9782.0,95.83
Bangladesh,151,2020-12-11,4311.0,5.4
