Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,224,2021-02-22,17743442.0,16.16
US,81,2020-10-02,4021262.0,24.89
Brazil,267,2021-04-06,3329676.0,17.69
Russia,167,2020-12-27,833914.0,13.33
Spain,87,2020-10-08,303830.0,73.85
United Kingdom,98,2020-10-19,291691.0,99.98
Italy,98,2020-10-19,243792.0,70.67
India,394,2021-08-11,4667065.0,9.21
France,76,2020-09-27,209090.0,82.39
Germany,76,2020-09-27,202029.0,63.89
Peru,374,2021-07-22,560784.0,14.25
Turkey,243,2021-03-13,248613.0,4.0
Iran,375,2021-07-23,405685.0,4.3
Chile,142,2020-12-02,369338.0,9.19
Mexico,373,2021-07-21,1281369.0,8.37
Canada,230,2021-02-28,120393.0,35.55
Saudi Arabia,139,2020-11-29,282735.0,13.99
Pakistan,113,2020-11-03,283678.0,6.33
Qatar,147,2020-12-07,113134.0,7.94
Belgium,78,2020-09-29,63569.0,63.9
Bangladesh,197,2021-01-26,268288.0,7.4
