Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,155,2020-10-30,7092561,31.89
US,137,2020-10-12,1964799,34.64
Brazil,226,2021-01-09,1408337,12.9
Russia,146,2020-10-21,504256,18.51
Spain,93,2020-08-29,286189,61.19
United Kingdom,160,2020-11-04,335392,57.12
Italy,101,2020-09-06,233718,47.33
India,259,2021-02-11,688088,0.26
France,49,2020-07-16,184791,82.82
Germany,152,2020-10-27,192833,13.62
Peru,166,2020-11-10,341554,5.06
Turkey,140,2020-10-15,175329,19.76
Iran,129,2020-10-04,170620,48.23
Chile,52,2020-07-19,140321,1.72
Mexico,372,2021-06-04,959630,20.1
Canada,154,2020-10-29,109277,2.81
Saudi Arabia,110,2020-09-15,127259,44.49
Pakistan,177,2020-11-21,140745,36.79
Qatar,258,2021-02-10,165782,4.61
Belgium,79,2020-08-15,58616,48.75
Bangladesh,110,2020-09-15,82831,19.28
