Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,118.0,2020-09-23,409884.0,22.61
US,95.0,2020-08-31,108520.0,50.57
Brazil,285.0,2021-03-09,126902.0,17.85
Russia,58.0,2020-07-25,6186.0,12.23
Spain,63.0,2020-07-30,27433.0,1800.0
United Kingdom,124.0,2020-09-29,43740.0,17.69
Italy,82.0,2020-08-18,33709.0,31.7
India,171.0,2020-11-15,13685.0,17.97
France,61.0,2020-07-28,28971.0,39.44
Germany,61.0,2020-07-28,8850.0,42.17
Peru,89.0,2020-08-25,7119.0,24.56
Turkey,60.0,2020-07-27,4659.0,26.47
Iran,70.0,2020-08-06,8134.0,39.1
Chile,44.0,2020-07-11,1475.0,36.32
Mexico,49.0,2020-07-16,15125.0,0.26
Canada,87.0,2020-08-23,8344.0,12.93
Saudi Arabia,218.0,2021-01-01,2276.0,39.77
Pakistan,93.0,2020-08-29,2643.0,30.92
Qatar,,,,
Belgium,48.0,2020-07-15,9596.0,29.19
Bangladesh,44.0,2020-07-11,788.0,46.19
