Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,116,2020-09-11,363908.0,17.96
US,88,2020-08-14,98281.0,42.69
Brazil,155,2020-10-20,48215.0,11.34
Russia,66,2020-07-23,3895.0,34.1
Spain,61,2020-07-18,28165.0,70.31
United Kingdom,81,2020-08-07,38000.0,17.44
Italy,78,2020-08-04,33047.0,30.54
India,44,2020-07-01,4457.0,17.7
France,59,2020-07-16,29162.0,107.43
Germany,69,2020-07-26,8224.0,55.7
Peru,84,2020-08-10,5047.0,5.47
Turkey,60,2020-07-17,4449.0,13.07
Iran,72,2020-07-29,7430.0,48.61
Chile,28,2020-06-15,675.0,52.11
Mexico,207,2020-12-11,28218.0,5.56
Canada,80,2020-08-06,7247.0,8.76
Saudi Arabia,87,2020-08-13,645.0,11.25
Pakistan,71,2020-07-28,1870.0,10.57
Qatar,10,2020-05-28,15.0,91.67
Belgium,56,2020-07-13,9295.0,35.62
Bangladesh,39,2020-06-26,537.0,37.91
