Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,158.0,2020-11-26,11334847.0,18.69
US,121.0,2020-10-20,2702893.0,32.55
Brazil,229.0,2021-02-05,2263549.0,13.55
Russia,385.0,2021-07-11,992508.0,6.05
Spain,84.0,2020-09-13,297647.0,17.69
United Kingdom,195.0,2021-01-02,339090.0,15.21
Italy,99.0,2020-09-28,239490.0,67.04
India,372.0,2021-06-28,2433547.0,4.48
France,73.0,2020-09-02,200167.0,18.33
Germany,72.0,2020-09-01,194015.0,48.8
Peru,135.0,2020-11-03,330981.0,10.77
Turkey,371.0,2021-06-27,278434.0,16.34
Iran,140.0,2020-11-08,243945.0,19.27
Chile,,,,
Mexico,376.0,2021-07-02,585092.0,3.58
Canada,173.0,2020-12-11,111245.0,10.04
Saudi Arabia,143.0,2020-11-11,242566.0,11.06
Pakistan,76.0,2020-09-05,230358.0,7.89
Qatar,98.0,2020-09-27,99704.0,28.22
Belgium,80.0,2020-09-09,61209.0,47.72
Bangladesh,362.0,2021-06-18,468493.0,11.24
