Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,123,2020-10-04,432951.0,28.64
US,96,2020-09-07,114625.0,42.4
Brazil,193,2020-12-13,73294.0,0.74
Russia,83,2020-08-25,8037.0,0.09
Spain,13,2020-06-16,27127.0,90.0
United Kingdom,74,2020-08-16,43313.0,44.19
Italy,83,2020-08-25,33997.0,48.25
India,164,2020-11-14,16426.0,29.74
France,62,2020-08-04,29098.0,69.19
Germany,65,2020-08-07,8740.0,41.06
Peru,131,2020-10-12,9678.0,6.4
Turkey,62,2020-08-04,4768.0,28.26
Iran,64,2020-08-06,8691.0,24.65
Chile,124,2020-10-05,4434.0,57.3
Mexico,232,2021-01-21,73976.0,28.05
Canada,73,2020-08-15,8611.0,20.81
Saudi Arabia,64,2020-08-06,1116.0,36.51
Pakistan,104,2020-09-15,3437.0,32.76
Qatar,15,2020-06-18,50.0,72.73
Belgium,56,2020-07-29,9610.0,40.74
Bangladesh,33,2020-07-06,972.0,40.82
