Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,160,2020-11-10,7984074,27.73
US,293,2021-03-23,2526539,19.6
Brazil,65,2020-08-07,999205,25.79
Russia,140,2020-10-21,544321,22.12
Spain,93,2020-09-04,290396,2.7
United Kingdom,163,2020-11-13,322681,9.49
Italy,101,2020-09-12,235713,41.13
India,243,2021-02-01,717906,2.74
France,74,2020-08-16,192344,8.59
Germany,107,2020-09-18,185749,67.62
Peru,138,2020-10-19,380378,89.45
Turkey,149,2020-10-30,179628,30.05
Iran,129,2020-10-10,209522,3.14
Chile,98,2020-09-09,195417,9.07
Mexico,192,2020-12-12,221571,12.78
Canada,135,2020-10-16,108187,0.07
Saudi Arabia,111,2020-09-22,120902,38.65
Pakistan,179,2020-11-29,181786,47.49
Qatar,205,2020-12-25,146610,26.36
Belgium,79,2020-08-21,59307,55.39
Bangladesh,127,2020-10-08,119861,17.77
