Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,226,2021-02-26,18417773,
US,94,2020-10-17,4211486,
Brazil,335,2021-06-15,3670950,
Russia,173,2021-01-04,839859,
Spain,77,2020-09-30,309938,
United Kingdom,113,2020-11-05,307478,
Italy,96,2020-10-19,245009,
India,396,2021-08-15,4928055,
France,74,2020-09-27,212888,
Germany,148,2020-12-10,208112,
Peru,371,2021-07-21,531548,
Turkey,261,2021-04-02,252663,
Iran,339,2021-06-19,383757,
Chile,158,2020-12-20,375551,
Mexico,315,2021-05-26,640454,
Canada,117,2020-11-09,118158,
Saudi Arabia,138,2020-11-30,286438,
Pakistan,116,2020-11-08,283973,
Qatar,148,2020-12-10,113296,
Belgium,81,2020-10-04,63134,
Bangladesh,216,2021-02-16,284068,
