Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,144,2020-12-06,655027.0,
US,107,2020-10-30,146779.0,
Brazil,374,2021-07-24,190985.0,
Russia,164,2020-12-26,15276.0,
Spain,20,2020-08-04,28416.0,
United Kingdom,88,2020-10-11,45759.0,
Italy,83,2020-10-06,35071.0,
India,373,2021-07-23,223660.0,
France,60,2020-09-13,30067.0,
Germany,64,2020-09-17,9085.0,
Peru,235,2021-03-07,22501.0,
Turkey,263,2021-04-04,6936.0,
Iran,44,2020-08-28,14893.0,
Chile,58,2020-09-11,8145.0,
Mexico,188,2021-01-19,57075.0,
Canada,66,2020-09-19,8845.0,
Saudi Arabia,60,2020-09-13,2769.0,
Pakistan,108,2020-10-31,7068.0,
Qatar,31,2020-08-15,174.0,
Belgium,24,2020-08-08,9804.0,
Bangladesh,106,2020-10-29,3678.0,
