Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,174,2020-12-15,12041846,
US,382,2021-07-11,3737652,
Brazil,218,2021-01-28,2666989,
Russia,375,2021-07-04,974500,
Spain,92,2020-09-24,297162,
United Kingdom,208,2021-01-18,337550,
Italy,98,2020-09-30,240381,
India,375,2021-07-04,2495496,
France,176,2020-12-17,209872,
Germany,71,2020-09-03,196159,
Peru,148,2020-11-19,344448,
Turkey,84,2020-09-16,201743,
Iran,141,2020-11-12,253110,
Chile,35,2020-07-29,317485,
Mexico,356,2021-06-15,628140,
Canada,176,2020-12-17,110789,
Saudi Arabia,86,2020-09-18,198517,
Pakistan,84,2020-09-16,238438,
Qatar,146,2020-11-17,111435,
Belgium,79,2020-09-11,61751,
Bangladesh,241,2021-02-20,307457,
