Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,116.0,2020-09-16,392308.0,8.54
US,85.0,2020-08-16,108723.0,8.76
Brazil,147.0,2020-10-17,64608.0,19.5
Russia,188.0,2020-11-27,12888.0,10.36
Spain,60.0,2020-07-22,29334.0,131.41
United Kingdom,131.0,2020-10-01,43821.0,11.87
Italy,129.0,2020-09-29,35850.0,45.93
India,141.0,2020-10-11,9639.0,17.45
France,62.0,2020-07-24,28500.0,61.55
Germany,65.0,2020-07-27,8519.0,40.74
Peru,92.0,2020-08-23,5621.0,18.74
Turkey,44.0,2020-07-06,4534.0,42.31
Iran,67.0,2020-07-29,7904.0,20.48
Chile,26.0,2020-06-18,915.0,34.93
Mexico,52.0,2020-07-14,13264.0,22.95
Canada,81.0,2020-08-12,7548.0,16.76
Saudi Arabia,61.0,2020-07-23,677.0,11.76
Pakistan,93.0,2020-08-24,2440.0,12.88
Qatar,,,,
Belgium,56.0,2020-07-18,9393.0,48.85
Bangladesh,38.0,2020-06-30,722.0,12.58
