Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,141,2020-10-11,6597292,19.61
US,239,2021-01-17,2287586,3.7
Brazil,69,2020-07-31,622583,9.26
Russia,130,2020-09-30,460353,19.45
Spain,90,2020-08-21,288863,17.74
United Kingdom,136,2020-10-06,308826,9.23
Italy,99,2020-08-30,233595,23.98
India,382,2021-06-09,2071911,8.02
France,77,2020-08-08,183889,74.59
Germany,135,2020-10-05,191386,1.95
Peru,166,2020-11-05,231569,28.0
Turkey,132,2020-10-02,168830,31.4
Iran,123,2020-09-23,165928,16.51
Chile,60,2020-07-22,121640,11.23
Mexico,139,2020-10-09,140628,3.26
Canada,134,2020-10-04,104420,6.06
Saudi Arabia,120,2020-09-20,123551,37.64
Pakistan,42,2020-07-04,79009,29.46
Qatar,151,2020-10-21,92853,5.09
Belgium,81,2020-08-12,59998,4.43
Bangladesh,45,2020-07-07,48704,9.72
