Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,205,2021-02-09,19630444,
US,76,2020-10-03,4496881,
Brazil,284,2021-04-29,3653010,
Russia,373,2021-07-27,1316725,
Spain,72,2020-09-29,315358,
United Kingdom,372,2021-07-26,341528,
Italy,94,2020-10-21,246895,
India,210,2021-02-14,2733093,
France,75,2020-10-02,214830,
Germany,73,2020-09-30,205610,
Peru,371,2021-07-25,704288,
Turkey,280,2021-04-25,256352,
Iran,394,2021-08-17,525498,
Chile,166,2021-01-01,380324,
Mexico,375,2021-07-29,888649,
Canada,118,2020-11-14,119571,
Saudi Arabia,200,2021-02-04,316636,
Pakistan,123,2020-11-19,286341,
Qatar,168,2021-01-03,113663,
Belgium,73,2020-09-30,65338,
Bangladesh,219,2021-02-23,285246,
