Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,126,2020-10-31,567077.0,
US,83,2020-09-18,139301.0,
Brazil,302,2021-04-25,121671.0,
Russia,140,2020-11-14,13250.0,
Spain,9,2020-07-06,28338.0,
United Kingdom,109,2020-10-14,46283.0,
Italy,85,2020-09-20,34714.0,
India,31,2020-07-28,17251.0,
France,61,2020-08-27,29851.0,
Germany,79,2020-09-14,9207.0,
Peru,111,2020-10-16,13233.0,
Turkey,61,2020-08-27,5216.0,
Iran,56,2020-08-22,11502.0,
Chile,25,2020-07-22,5850.0,
Mexico,137,2020-11-11,55428.0,
Canada,89,2020-09-24,8785.0,
Saudi Arabia,86,2020-09-21,2514.0,
Pakistan,48,2020-08-14,4855.0,
Qatar,17,2020-07-14,122.0,
Belgium,55,2020-08-21,9745.0,
Bangladesh,102,2020-10-07,2752.0,
