Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,150,2020-11-24,12807177,10.18
US,108,2020-10-13,2976975,35.23
Brazil,260,2021-03-14,3582121,26.35
Russia,157,2020-12-01,725182,17.3
Spain,91,2020-09-26,299366,29.84
United Kingdom,167,2020-12-11,300598,59.32
Italy,95,2020-09-30,243159,20.84
India,378,2021-07-10,3314941,0.12
France,74,2020-09-09,201489,72.34
Germany,71,2020-09-06,197738,23.53
Peru,155,2020-11-29,351424,6.08
Turkey,83,2020-09-18,207004,27.23
Iran,372,2021-07-04,508308,0.94
Chile,138,2020-11-12,467804,139.45
Mexico,359,2021-06-21,641198,8.87
Canada,172,2020-12-16,110434,25.5
Saudi Arabia,127,2020-11-01,235565,26.9
Pakistan,62,2020-08-28,220904,47.62
Qatar,147,2020-11-21,111664,3.21
Belgium,80,2020-09-15,61894,35.87
Bangladesh,226,2021-02-08,288486,2.02
