Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,126,2020-10-31,567077.0,5.44
US,81,2020-09-16,140066.0,55.85
Brazil,303,2021-04-26,121885.0,24.58
Russia,140,2020-11-14,13250.0,11.95
Spain,9,2020-07-06,28338.0,97.92
United Kingdom,109,2020-10-14,46283.0,18.66
Italy,84,2020-09-19,34827.0,51.02
India,31,2020-07-28,17251.0,69.63
France,61,2020-08-27,29851.0,55.17
Germany,79,2020-09-14,9207.0,58.49
Peru,111,2020-10-16,13233.0,11.1
Turkey,61,2020-08-27,5216.0,34.4
Iran,56,2020-08-22,11502.0,37.42
Chile,25,2020-07-22,5850.0,28.66
Mexico,137,2020-11-11,55428.0,74.31
Canada,89,2020-09-24,8785.0,29.49
Saudi Arabia,86,2020-09-21,2514.0,23.28
Pakistan,43,2020-08-09,4696.0,32.99
Qatar,17,2020-07-14,122.0,7.14
Belgium,55,2020-08-21,9745.0,67.5
Bangladesh,102,2020-10-07,2752.0,17.82
