Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,259,2021-03-30,18440023,
US,94,2020-10-16,4129406,
Brazil,274,2021-04-14,3364291,
Russia,173,2021-01-03,833024,
Spain,111,2020-11-02,309737,
United Kingdom,113,2020-11-04,307045,
Italy,372,2021-07-21,259675,
India,395,2021-08-13,4656613,
France,75,2020-09-27,211653,
Germany,77,2020-09-29,201966,
Peru,372,2021-07-21,670972,
Turkey,248,2021-03-19,249680,
Iran,382,2021-07-31,483190,
Chile,146,2020-12-07,370273,
Mexico,374,2021-07-23,1464288,
Canada,117,2020-11-08,117904,
Saudi Arabia,134,2020-11-25,284432,
Pakistan,133,2020-11-24,295405,
Qatar,148,2020-12-09,113240,
Belgium,78,2020-09-30,63563,
Bangladesh,196,2021-01-26,268732,
